,ID_REF,PROBE_ID,IDENTIFIER
397,1552811_at,397,WFIKKN1
398,1552812_a_at,398,SENP1
399,1552813_at,399,KLF14
400,1552814_a_at,400,KLF14
401,1552816_at,401,NXNL2
402,1552818_a_at,402,BRS3
403,1552819_at,403,LINC00205
404,1552822_at,404,TMX3
405,1552825_at,405,ZNF396
406,1552826_at,406,SLC26A7
407,1552827_s_at,407,SLC26A7
408,1552828_at,408,SNX18
409,1552829_at,409,1552829_at
410,1552830_at,410,FBXO39
411,1552833_at,411,B3GNT6
412,1552834_at,412,B3GNT6
413,1552835_at,413,DENND1B
414,1552836_at,414,ZNF619
415,1552837_at,415,ICK
416,1552839_at,416,FAM71D
417,1552841_s_at,417,BCL2L14
418,1552842_at,418,HS6ST3
419,1552843_at,419,SLC26A1
420,1552845_at,420,CLDN15
421,1552846_s_at,421,RAB42
422,1552848_a_at,422,PTCHD1
423,1552849_at,423,M1AP
424,1552851_at,424,ZSCAN4
425,1552852_a_at,425,ZSCAN4
426,1552853_at,426,VWA5B1
427,1552854_a_at,427,VWA5B1
428,1552856_at,428,LINC00311
429,1552857_a_at,429,HTR6
430,1552858_at,430,MAGEB6
431,1552860_at,431,LOC101930171
432,1552862_at,432,RUSC1-AS1
433,1552863_a_at,433,CACNG6
434,1552865_a_at,434,LMNTD1
435,1552867_at,435,1552867_at
436,1552868_at,436,CIRBP-AS1
437,1552870_s_at,437,AXDND1
438,1552872_at,438,ASMTL-AS1
439,1552873_s_at,439,ASMTL-AS1
440,1552875_a_at,440,CD200R1
441,1552876_at,441,LINC00334
442,1552877_s_at,442,LINC00334
443,1552878_at,443,ATOH7
444,1552879_a_at,444,ATOH7
445,1552880_at,445,SEC16B
446,1552882_a_at,446,AMER1
447,1552884_at,447,NKX6-3
448,1552885_a_at,448,NKX6-3
449,1552887_at,449,TBATA
450,1552889_a_at,450,EXOC3L2
451,1552890_a_at,451,CABP4
452,1552892_at,452,TNFRSF13C
453,1552893_at,453,CAMK2N2
454,1552895_a_at,454,ANKRD30BP2
455,1552897_a_at,455,KCNG3
456,1552898_a_at,456,KCNG3
457,1552899_at,457,LINC01312
458,1552900_a_at,458,LINC01312
459,1552902_a_at,459,FOXP2
460,1552903_at,460,B4GALNT2
461,1552904_at,461,NETO1
462,1552906_at,462,FMR1NB
463,1552908_at,463,GCSAML
464,1552910_at,464,SIGLEC11
465,1552911_at,465,SIGLEC11
466,1552912_a_at,466,IL23R
467,1552913_at,467,MAGEB18
468,1552914_a_at,468,CD276
469,1552915_at,469,IFNL2
470,1552917_at,470,IFNL1
471,1552919_at,471,C4orf36
472,1552921_a_at,472,FIGNL1
473,1552922_at,473,RIMS1
474,1552923_a_at,474,PITPNM2
475,1552924_a_at,475,PITPNM2
476,1552925_at,476,PCDH10
477,1552927_at,477,TAB3
478,1552928_s_at,478,TAB3
479,1552929_at,479,GRK7
480,1552930_at,480,MMEL1
481,1552931_a_at,481,PDE8A
482,1552932_at,482,NLRP6
483,1552933_at,483,AKNAD1
484,1552935_at,484,ZCCHC5
485,1552937_s_at,485,ATRIP
486,1552938_at,486,ZIC5
487,1552939_at,487,ANGPT1
488,1552940_at,488,TEDDM1
489,1552942_at,489,LOC149373
490,1552943_at,490,GABRG1
491,1552944_a_at,491,PANX2
492,1552946_at,492,ZNF114
493,1552947_x_at,493,ZNF114
494,1552948_at,494,CCDC27
495,1552950_at,495,CFAP161
496,1552952_at,496,LOC100652931
497,1552953_a_at,497,NEUROD2
498,1552954_at,498,C5orf17
499,1552955_at,499,LINC00208
500,1552957_at,500,DNAH6
501,1552960_at,501,LRRC15
502,1552961_at,502,1552961_at
503,1552964_at,503,CFAP46
504,1552965_a_at,504,B3GNT7
505,1552967_at,505,ZNF645
506,1552969_a_at,506,ZMYM6
507,1552970_s_at,507,ZMYM6
508,1552971_at,508,SGCZ
509,1552972_at,509,LOC100507431
510,1552973_at,510,WNT9B
511,1552974_at,511,1552974_at
512,1552975_x_at,512,1552975_x_at
513,1552976_at,513,DNAJB13
514,1552977_a_at,514,CNPY3
515,1552978_a_at,515,SCAMP1
516,1552979_at,516,LINC00471
517,1552980_at,517,HAS3
518,1552982_a_at,518,FGF4
519,1552985_at,519,SLC30A8
520,1552986_at,520,LOC142937
521,1552987_a_at,521,LOC439933
522,1552988_at,522,C11orf65
523,1552990_at,523,FAM71E2
524,1552991_at,524,OR5P2
525,1552993_at,525,DYDC1
526,1552995_at,526,IL27
527,1552997_a_at,527,IQCF1
528,1552998_at,528,DEFB125
529,1552999_a_at,529,WFDC10B
530,1553002_at,530,DEFB105B
531,1553003_at,531,PKHD1
532,1553004_at,532,PKD1L1
533,1553006_at,533,ADGRG4
534,1553007_a_at,534,TENM1
535,1553009_s_at,535,REXO1L1P
536,1553011_at,536,TAF1L
537,1553013_at,537,CNTNAP5
538,1553015_a_at,538,RECQL4
539,1553016_at,539,ADGRF3
540,1553019_at,540,TMC2
541,1553020_at,541,SMCR5
542,1553021_s_at,542,BICD2
543,1553022_at,543,ZIM3
544,1553023_a_at,544,NOX5
545,1553024_at,545,DAOA-AS1
546,1553025_at,546,ADGRG6
547,1553027_a_at,547,KLHL4
548,1553028_at,548,GPR156
549,1553030_a_at,549,SUOX
550,1553031_at,550,ADGRF4
551,1553032_at,551,IL31RA
552,1553033_at,552,SYTL5
553,1553034_at,553,SDCCAG8
554,1553036_at,554,ADGRF2
555,1553037_a_at,555,SYN2
556,1553039_a_at,556,ASB10
557,1553041_at,557,HTR3C
558,1553042_a_at,558,NFKBID
559,1553043_a_at,559,CD300LF
560,1553044_at,560,GJA10
561,1553045_at,561,WNT9A
562,1553046_s_at,562,GAL3ST2
563,1553047_at,563,PIP4K2B
564,1553048_a_at,564,PIP4K2B
565,1553051_s_at,565,ODF3
566,1553052_at,566,WFDC13
567,1553053_at,567,LINC00521
568,1553055_a_at,568,SLFN5
569,1553057_at,569,SERPINB12
570,1553058_at,570,GIPC3
571,1553059_at,571,PGLYRP3
572,1553060_at,572,PSKH2
573,1553061_at,573,OR6W1P
574,1553062_at,574,MOGAT1
575,1553063_at,575,GPR78
576,1553064_at,576,H1FOO
577,1553066_at,577,TAAR9
578,1553067_a_at,578,GNRHR2
579,1553069_at,579,1553069_at
580,1553070_a_at,580,MYOZ3
581,1553071_a_at,581,MYOZ3
582,1553072_at,582,BNIPL
583,1553074_at,583,ASB11
584,1553075_a_at,584,OFCC1
585,1553076_at,585,OFCC1
586,1553077_at,586,SDR9C7
587,1553078_at,587,OR5P3
588,1553079_at,588,TRIM40
589,1553080_at,589,CSN1S2AP
590,1553081_at,590,WFDC12
591,1553082_at,591,CRYGN
592,1553083_at,592,1553083_at
593,1553084_at,593,STARD6
594,1553086_at,594,C11orf40
595,1553087_at,595,C18orf12
596,1553088_a_at,596,BCL2L11
597,1553089_a_at,597,WFDC2
598,1553093_a_at,598,DEFB119
599,1553094_at,599,FLJ45513
600,1553096_s_at,600,BCL2L11
601,1553099_at,601,TIGD1
602,1553101_a_at,602,ALKBH5
603,1553102_a_at,603,CCDC69
604,1553103_at,604,NFX1
605,1553105_s_at,605,DSG2
606,1553106_at,606,C5orf24
607,1553107_s_at,607,C5orf24
608,1553108_at,608,C5orf24
609,1553111_a_at,609,KBTBD6
610,1553112_s_at,610,CDK8
611,1553113_s_at,611,CDK8
612,1553114_a_at,612,PTK6
613,1553115_at,613,NKD1
614,1553117_a_at,614,STK38
615,1553118_at,615,THEM4
616,1553120_at,616,CLSPN
617,1553122_s_at,617,RBAK
618,1553123_at,618,WDR62
619,1553125_x_at,619,WDR62
620,1553126_a_at,620,SLC39A12
621,1553127_a_at,621,RNF168
622,1553129_at,622,SVEP1
623,1553130_at,623,LOC652276
624,1553131_a_at,624,GATA4
625,1553132_a_at,625,TC2N
626,1553133_at,626,C9orf72
627,1553134_s_at,627,C9orf72
628,1553136_at,628,KCTD18
629,1553137_s_at,629,KLF11
630,1553138_a_at,630,ANKLE1
631,1553139_s_at,631,PLXNA3
632,1553140_at,632,PELO
633,1553141_at,633,LACC1
634,1553142_at,634,LACC1
635,1553145_at,635,TAPT1-AS1
636,1553146_at,636,C3orf30
637,1553147_at,637,RANBP3L
638,1553148_a_at,638,SNX13
639,1553150_at,639,KDM1B
640,1553151_at,640,ATP6V0D2
641,1553153_at,641,ATP6V0D2
642,1553155_x_at,642,ATP6V0D2
643,1553156_at,643,LHX4
644,1553157_at,644,LHX4
645,1553158_at,645,CEP19
646,1553159_at,646,DNAH11
647,1553162_x_at,647,PROSER3
648,1553163_at,648,ADPRHL1
649,1553165_at,649,SYNRG
650,1553166_at,650,CDH24
651,1553167_a_at,651,SEPSECS
652,1553168_at,652,GRIK5
653,1553169_at,653,LRRN4
654,1553171_x_at,654,LRRN4
655,1553172_at,655,ZNF777
656,1553174_at,656,JPH2
657,1553175_s_at,657,PDE5A
658,1553176_at,658,SH2D1B
659,1553177_at,659,SH2D1B
660,1553178_a_at,660,SSTR3
661,1553179_at,661,ADAMTS19
662,1553180_at,662,ADAMTS19
663,1553181_at,663,DDX31
664,1553183_at,664,UMODL1
665,1553185_at,665,RASEF
666,1553186_x_at,666,RASEF
667,1553188_s_at,667,PARD3B
668,1553190_s_at,668,PARD3B
669,1553191_at,669,DST
670,1553192_at,670,ZNF441
671,1553193_at,671,ZNF441
672,1553194_at,672,NEGR1
673,1553196_a_at,673,FCRL3
674,1553197_at,674,DCAF4L2
675,1553199_at,675,DCAF4L2
676,1553202_at,676,STOX1
677,1553204_at,677,C20orf166-AS1
678,1553205_at,678,C20orf166-AS1
679,1553207_at,679,ARL10
680,1553208_s_at,680,ARL10
681,1553209_at,681,RNFT2
682,1553211_at,682,ANKFN1
683,1553212_at,683,KRT78
684,1553213_a_at,684,KRT78
685,1553214_a_at,685,CCDC7
686,1553215_s_at,686,CCDC7
687,1553216_at,687,ZNF41
688,1553217_s_at,688,ZNF41
689,1553218_a_at,689,ZNF512
690,1553219_a_at,690,AMMECR1
691,1553220_at,691,FAM117B
692,1553221_at,692,ZNF583
693,1553222_at,693,OXER1
694,1553224_at,694,LUZP1
695,1553225_s_at,695,ZNF75D
696,1553226_at,696,LINC00052
697,1553227_s_at,697,BRWD1
698,1553228_at,698,CCDC89
699,1553229_at,699,ZNF572
700,1553232_at,700,RMDN2
701,1553234_at,701,ADAMTS18
702,1553235_at,702,PCDHAC1
703,1553237_x_at,703,PCDHAC1
704,1553238_a_at,704,HIPK4
705,1553239_at,705,FAM124A
706,1553241_at,706,NKAIN3
707,1553243_at,707,ITIH5
708,1553244_at,708,FANCB
709,1553246_a_at,709,POMK
710,1553247_a_at,710,ZNF709
711,1553248_at,711,CCDC57
712,1553249_at,712,SMC1B
713,1553252_a_at,713,BRWD3
714,1553253_at,714,ASB16
715,1553254_at,715,MAGEE2
716,1553255_at,716,ERVV-1
717,1553257_at,717,GAL3ST3
718,1553258_at,718,FLJ30679
719,1553260_s_at,719,ALS2CR11
720,1553261_x_at,720,ALS2CR11
721,1553262_a_at,721,UTS2R
722,1553263_at,722,USH1G
723,1553264_a_at,723,SYN1
724,1553265_at,724,SLC23A3
725,1553266_at,725,CNOT6L
726,1553267_a_at,726,CNOT6L
727,1553268_at,727,RHBDL3
728,1553269_at,728,ZNF718
729,1553271_at,729,DIP2B
730,1553272_at,730,SLC36A1
731,1553274_a_at,731,SNRNP48
732,1553275_s_at,732,1553275_s_at
733,1553276_at,733,ZNF560
